product_id,product_name,category,sub_category,brand,seller_id,cost_price,selling_price
P00054,Fast Charging Cable,Electronics,Computer Accessories,GlowNest,S0184,3164.49,4741
P00055,Slim Fit Cotton Shirt,Men Fashion,T-Shirts,TechNova,S0244,1214.66,1956
P00056,Printed Cotton Kurti,Women Fashion,Tops,DailyEase,S0007,839.5,1151
P00057,Floral Anarkali Kurti,Women Fashion,Tops,Zenvia,S0215,1738.38,2298
P00058,Slim Fit Cotton Shirt,Men Fashion,Kurtas,Trendora,S0136,1119.96,1920
P00059,Printed Cotton Kurti,Women Fashion,Tops,UrbanNest,S0120,685.97,896
P00060,Mobile Phone Stand,Electronics,Audio,Zenvia,S0069,2097.64,3166
P00061,Matte Liquid Lipstick,Beauty,Haircare,PrimeChoice,S0254,106.62,189
P00062,Wireless Bluetooth Earbuds,Electronics,Smart Devices,StyleMint,S0139,2944.6,4877
P00063,Men's Casual Kurta,Men Fashion,Kurtas,PrimeChoice,S0248,342.88,607
P00064,Wireless Bluetooth Earbuds,Electronics,Smart Devices,GlowNest,S0142,839.22,1432
P00065,Microfiber Cleaning Set,Home & Kitchen,Kitchen Storage,NovaCart,S0200,1660.97,2484
P00066,Fast Charging Cable,Electronics,Computer Accessories,TechNova,S0041,1040.14,1750
P00067,Vitamin C Face Serum,Beauty,Skincare,Trendora,S0110,410.69,742
P00068,Kitchen Storage Container Set,Home & Kitchen,Kitchen Storage,Zenvia,S0027,1804.95,2384
P00069,Regular Fit Jeans,Men Fashion,Jeans,Vistara Living,S0196,1613.18,2452
P00070,Printed Cotton Kurti,Women Fashion,Dresses,PrimeChoice,S0230,556.1,810
P00071,Slim Fit Cotton Shirt,Men Fashion,Shirts,Vistara Living,S0172,246.61,442
P00072,Stainless Steel Bottle,Home & Kitchen,Cleaning,Vistara Living,S0185,427.91,754
P00073,Kitchen Storage Container Set,Home & Kitchen,Kitchen Storage,Zenvia,S0161,1057.28,1587
P00074,Embroidered Saree,Women Fashion,Kurtis,Zenvia,S0289,698.05,1195
P00075,Floral Anarkali Kurti,Women Fashion,Dresses,UrbanWeave,S0018,1195.68,2089
P00076,Non Stick Cookware Set,Home & Kitchen,Cookware,HomeAura,S0277,335.98,582
P00077,Mobile Phone Stand,Electronics ,Audio,UrbanWeave,S0039,2953.91,4421
P00078,Non Stick Cookware Set,Home & Kitchen,Cleaning,StyleMint,S0130,556.21,959
P00079,Matte Liquid Lipstick,Beauty,Personal Care,GlowNest,S0086,672.49,1164
P00080,Cotton Leggings,Women Fashion,Dresses,Vistara Living,S0157,148.67,224
P00081,Non Stick Cookware Set,Home & Kitchen,Kitchen Storage,Trendora,S0151,830.16,1122
P00082,Slim Fit Cotton Shirt,Men Fashion,Jeans,Trendora,S0008,483.44,679
P00083,Vitamin C Face Serum,Beauty,Skincare,Trendora,S0043,834.82,1352
P00084,Georgette Saree,Women Fashion,Leggings,TechNova,S0229,1064.97,1448
P00085,Cotton Trousers,Men Fashion,Trousers,HomeAura,S0094,235.41,391
P00086,Matte Liquid Lipstick,Beauty,Haircare,HomeAura,S0241,475.47,609
P00087,Casual Women's Top,Women Fashion,Dresses,UrbanWeave,S0013,1042.51,1428
P00088,Printed T-Shirt,Men Fashion,Jeans,UrbanNest,S0180,1231.38,1769
P00089,Non Stick Cookware Set,Home & Kitchen,Kitchen Storage,StyleMint,S0057,364.4,632
P00090,Fast Charging Cable,Electronics,Audio,PrimeChoice,S0208,2582.91,3770
P00091,Moisturizing Face Cream,Beauty,Personal Care,UrbanWeave,S0264,777.88,1129
P00092,Non Stick Cookware Set,Home & Kitchen ,Cookware,Zenvia,S0031,1352.23,2097
P00093,Wireless Mouse,Electronics,Smart Devices,PrimeChoice,S0262,2450.21,3986
P00094,Men's Casual Kurta,Men Fashion,Trousers,UrbanNest,S0290,2050.38,2582
P00095,Bluetooth Speaker,Electronics,Audio,Trendora,S0291,1858.89,2637
P00096,Georgette Saree,Women Fashion,Dresses,PrimeChoice,S0293,212.1,377
P00097,Bluetooth Speaker,Electronics ,Mobile Accessories,Vistara Living,S0167,982.89,1296
P00098,Hair Repair Oil,Beauty,Haircare,GlowNest,S0021,644.78,1044
P00099,Slim Fit Cotton Shirt,Men Fashion,Shirts,StyleMint,S0211,2097.12,2650
P00100,Vitamin C Face Serum,Beauty,Personal Care,Trendora,S0005,329.33,452
P00101,Floral Anarkali Kurti,Women Fashion,Sarees,Zenvia,S0076,1596.13,2212
P00102,Matte Liquid Lipstick,Beauty,Haircare,Zenvia,S0112,1172.76,1948
P00103,Printed Cotton Kurti,Women Fashion,Kurtis,NovaCart,S0128,1661.99,2445
P00104,Non Stick Cookware Set,Home & Kitchen,Cleaning,Zenvia,S0003,1519.63,2630
P00105,Wireless Bluetooth Earbuds,Electronics,Audio,Zenvia,S0002,1341.61,2314
P00106,Bluetooth Speaker,Electronics,Audio,Vistara Living,S0078,3616.65,4899
P00107,Slim Fit Cotton Shirt,Men Fashion,Trousers,UrbanWeave,S0298,1595.39,2169
P00108,Mobile Phone Stand,Electronics,Computer Accessories,PrimeChoice,S0278,397.94,615
P00109,Hair Repair Oil,Beauty,Haircare,HomeAura,S0281,1476.22,1874
P00110,Cotton Cushion Cover Set,Home & Kitchen,Home Decor,DailyEase,S0012,673.31,1202
P00111,Mobile Phone Stand,Electronics,Smart Devices,UrbanNest,S0061,1251.46,2044
P00112,Men's Casual Shirt,Men Fashion,Trousers,StyleMint,S0044,471.15,692
P00113,Casual Women's Top,Women Fashion,Leggings,GlowNest,S0169,1238.04,1711
P00114,Printed T-Shirt,Men Fashion,Kurtas,UrbanWeave,S0097,724.19,913
P00115,Matte Liquid Lipstick,Beauty,Makeup,NovaCart,S0123,535.97,892
P00116,Kitchen Storage Container Set,Home & Kitchen,Cleaning,DailyEase,S0295,1277.85,2027
P00117,Wireless Mouse,Electronics,Smart Devices,TechNova,S0222,1905.33,2488
P00118,Men's Casual Shirt,Men Fashion,Shirts,UrbanWeave,S0137,369.95,538
P00119,Long Summer Dress,Women Fashion,Sarees,Trendora,S0260,1871.59,2407
P00120,Cotton Trousers,Men Fashion,T-Shirts,Zenvia,S0148,1487.72,2128
P00121,Slim Fit Cotton Shirt,Men Fashion,Trousers,UrbanNest,S0257,297.67,436
P00122,Stainless Steel Bottle,Home & Kitchen,Home Decor,Vistara Living,S0240,1186.82,1529
P00123,Herbal Shampoo,Beauty,Skincare,StyleMint,S0114,464.28,787
P00124,Kitchen Storage Container Set,Home & Kitchen,Kitchen Storage,GlowNest,S0049,803.38,1405
P00125,Men's Casual Kurta,Men Fashion,Kurtas,UrbanWeave,S0060,956.33,1658
P00126,Stainless Steel Bottle,Home & Kitchen,Kitchen Storage,StyleMint,S0168,688.34,922
P00127,Wireless Mouse,Electronics,Audio,Zenvia,S0017,2028.01,3505
P00128,Non Stick Cookware Set,Home & Kitchen,Cookware,Zenvia,S0210,261.85,425
P00129,Floral Anarkali Kurti,Women Fashion,Kurtis,TechNova,S0074,1525.83,2499
P00130,Printed Cotton Kurti,Women Fashion,Kurtis,DailyEase,S0066,550.92,918
P00131,Decorative Wall Clock,Home & Kitchen,Kitchen Storage,GlowNest,S0136,328.42,565
P00132,Herbal Shampoo,Beauty,Makeup,Vistara Living,S0167,1087.91,1655
P00133,Herbal Shampoo,Beauty,Haircare,UrbanWeave,S0157,917.49,1634
P00134,Regular Fit Jeans,Men Fashion,T-Shirts,HomeAura,S0154,1605.74,2015
P00135,Casual Women's Top,Women Fashion,Kurtis,StyleMint,S0004,353.97,559
P00136,Stainless Steel Bottle,Home & Kitchen,Cookware,NovaCart,S0077,985.88,1465
P00137,Cotton Trousers,Men Fashion,Jeans,GlowNest,S0210,1156.38,2026
P00138,Printed T-Shirt,Men Fashion,T-Shirts,TechNova,S0065,526.48,714
P00139,Regular Fit Jeans,Men Fashion,Trousers,PrimeChoice,S0215,212.69,314
P00140,Stainless Steel Bottle,Home & Kitchen,Home Decor,NovaCart,S0067,1448.67,1838
P00141,Embroidered Saree,Women Fashion,Leggings,GlowNest,S0227,1429.24,1873
P00142,Herbal Shampoo,Beauty,Haircare,DailyEase,S0082,837.0,1105
P00143,Georgette Saree,Women Fashion,Sarees,GlowNest,S0056,145.37,260
P00144,Moisturizing Face Cream,Beauty,Personal Care,NovaCart,S0161,259.88,447
P00145,Men's Casual Shirt,Men Fashion,Jeans,GlowNest,S0194,1138.97,1557
P00146,Slim Fit Cotton Shirt,Men Fashion,Shirts,NovaCart,S0222,414.68,654
P00147,Fast Charging Cable,Electronics,Smart Devices,Zenvia,S0089,1948.22,3172
P00148,Decorative Wall Clock,Home & Kitchen,Home Decor,UrbanNest,S0064,2136.24,2831
P00149,Fast Charging Cable,Electronics,Computer Accessories,Trendora,S0272,3250.32,4727
P00150,Kitchen Storage Container Set,Home & Kitchen,Cookware,Vistara Living,S0158,1930.37,2937
P00151,Hair Repair Oil,Beauty,Haircare,PrimeChoice,S0092,1485.27,1939
P00152,Casual Women's Top,Women Fashion,Leggings,GlowNest,S0215,929.36,1334
P00153,Embroidered Saree,Women Fashion,Dresses,StyleMint,S0010,967.38,1262
P00154,Printed Cotton Kurti,Women Fashion,Kurtis,NovaCart,S0190,540.13,943
P00155,Men's Casual Shirt,Men Fashion,Jeans,UrbanNest,S0016,649.71,1062
P00156,Decorative Wall Clock,Home & Kitchen ,Kitchen Storage,HomeAura,S0271,1988.65,2702
P00157,Embroidered Saree,Women Fashion,Sarees,HomeAura,S0259,449.17,781
P00158,Floral Anarkali Kurti,Women Fashion,Kurtis,UrbanNest,S0104,490.39,867
P00159,Smart LED Bulb,Electronics,Computer Accessories,Zenvia,S0142,372.81,654
P00160,Georgette Saree,Women Fashion,Sarees,UrbanNest,S0124,1614.37,2143
P00161,Microfiber Cleaning Set,Home & Kitchen,Kitchen Storage,HomeAura,S0285,1562.42,2110
P00162,Long Summer Dress,Women Fashion,Kurtis,StyleMint,S0080,1378.6,1788
P00163,Mobile Phone Stand,Electronics,Audio,UrbanWeave,S0298,2707.28,4405
P00164,Hair Repair Oil,Beauty,Personal Care,UrbanWeave,S0005,630.34,822
P00165,Floral Anarkali Kurti,Women Fashion,Kurtis,GlowNest,S0173,1264.65,1991
P00166,Men's Casual Shirt,Men Fashion,Shirts,GlowNest,S0286,1743.99,2234
P00167,Cotton Cushion Cover Set,Home & Kitchen,Kitchen Storage,PrimeChoice,S0029,567.57,762
P00168,Men's Casual Shirt,Men Fashion,Trousers,GlowNest,S0015,1152.89,2000
P00169,Smart LED Bulb,Electronics,Audio,Trendora,S0080,3254.55,4099
P00170,Cotton Trousers,Men Fashion,Kurtas,TechNova,S0129,2306.41,2894
P00171,Microfiber Cleaning Set,Home & Kitchen,Kitchen Storage,Zenvia,S0117,677.33,1009
P00172,Microfiber Cleaning Set,Home & Kitchen,Cleaning,Trendora,S0004,490.52,633
P00173,Face Wash,Beauty,Makeup,StyleMint,S0188,1187.67,1629
P00174,Kitchen Storage Container Set,Home & Kitchen,Kitchen Storage,Vistara Living,S0151,637.27,894
P00175,Regular Fit Jeans,Men Fashion,T-Shirts,HomeAura,S0063,626.59,1061
P00176,Bluetooth Speaker,Electronics,Audio,NovaCart,S0234,2325.69,3381
P00177,Kitchen Storage Container Set,Home & Kitchen,Cleaning,UrbanNest,S0183,1344.38,1792
P00178,Non Stick Cookware Set,Home & Kitchen,Kitchen Storage,PrimeChoice,S0187,1956.39,2566
P00179,Printed T-Shirt,Men Fashion,Shirts,NovaCart,S0209,383.86,523
P00180,Men's Casual Shirt,Men Fashion,Trousers,Vistara Living,S0005,212.42,317
P00181,Men's Casual Shirt,Men Fashion,Jeans,Trendora,S0133,2012.06,2956
P00182,Face Wash,Beauty,Skincare,Vistara Living,S0276,1216.56,1681
P00183,Wireless Mouse,Electronics,Mobile Accessories,UrbanNest,S0258,3580.02,4687
P00184,Men's Casual Shirt,Men Fashion,Shirts,DailyEase,S0218,1193.01,1533
P00185,Georgette Saree,Women Fashion,Kurtis,StyleMint,S0052,637.54,1135
P00186,Embroidered Saree,Women Fashion,Dresses,HomeAura,S0282,1253.62,1692
P00187,Face Wash,Beauty,Personal Care,Vistara Living,S0169,1085.0,1775
P00188,Matte Liquid Lipstick,Beauty,Makeup,NovaCart,S0061,97.88,155
P00189,Decorative Wall Clock,Home & Kitchen,Cleaning,HomeAura,S0300,561.66,835
P00190,Embroidered Saree,Women Fashion,Tops,PrimeChoice,S0165,831.73,1209
P00191,Casual Women's Top,Women Fashion,Sarees,StyleMint,S0253,396.77,511
P00192,Floral Anarkali Kurti,Women Fashion,Sarees,GlowNest,S0255,1277.21,1723
P00193,Georgette Saree,Women Fashion,Tops,UrbanWeave,S0024,742.93,1262
P00194,Fast Charging Cable,Electronics,Computer Accessories,Trendora,S0010,1547.14,2109
P00195,Herbal Shampoo,Beauty,Haircare,NovaCart,S0190,1250.18,1702
P00196,Cotton Cushion Cover Set,Home & Kitchen,Cleaning,TechNova,S0034,434.47,777
P00197,Embroidered Saree,Women Fashion,Kurtis,TechNova,S0257,583.38,1032
P00198,Embroidered Saree,Women Fashion,Tops,GlowNest,S0247,944.03,1278
P00199,Men's Casual Kurta,Men Fashion,Trousers,StyleMint,S0250,331.67,549
P00200,Hair Repair Oil,Beauty,Skincare,NovaCart,S0227,134.68,181
P00201,Casual Women's Top,Women Fashion,Tops,HomeAura,S0093,1109.24,1527
P00202,Casual Women's Top,Women Fashion,Sarees,UrbanWeave,S0202,573.57,906
P00203,Fast Charging Cable,Electronics,Computer Accessories,NovaCart,S0265,2351.34,3942
P00204,Embroidered Saree,Women Fashion,Dresses,TechNova,S0006,1197.15,1954
P00205,Non Stick Cookware Set,Home & Kitchen,Cookware,StyleMint,S0106,1696.26,2157
P00206,Regular Fit Jeans,Men Fashion,Kurtas,StyleMint,S0071,1471.07,2248
P00207,Fast Charging Cable,Electronics,Mobile Accessories,TechNova,S0259,3014.08,4582
P00208,Bluetooth Speaker,Electronics,Audio,GlowNest,S0265,371.67,496
P00209,Non Stick Cookware Set,Home & Kitchen,Cookware,Vistara Living,S0190,313.99,434
P00210,Moisturizing Face Cream,Beauty,Makeup,DailyEase,S0269,980.84,1763
P00211,Slim Fit Cotton Shirt,Men Fashion,Trousers,StyleMint,S0043,1744.32,2665
P00212,Bluetooth Speaker,Electronics,Computer Accessories,Vistara Living,S0161,1753.91,2357
P00213,Herbal Shampoo,Beauty,Personal Care,DailyEase,S0257,196.03,267
P00214,Stainless Steel Bottle,Home & Kitchen,Cleaning,HomeAura,S0082,1009.44,1587
P00215,Long Summer Dress,Women Fashion,Leggings,NovaCart,S0270,190.42,312
P00216,Regular Fit Jeans,Men Fashion,T-Shirts,TechNova,S0067,886.73,1159
P00217,Men's Casual Shirt,Men Fashion,T-Shirts,TechNova,S0076,605.74,1020
P00218,Cotton Leggings,Women Fashion,Kurtis,UrbanWeave,S0190,384.04,506
P00219,Microfiber Cleaning Set,Home & Kitchen,Cleaning,HomeAura,S0055,548.98,693
P00220,Printed T-Shirt,Men Fashion,Shirts,StyleMint,S0279,664.76,944
P00221,Georgette Saree,Women Fashion,Tops,Vistara Living,S0284,1602.2,2461
P00222,Floral Anarkali Kurti,Women Fashion,Tops,Zenvia,S0297,472.79,623
P00223,Slim Fit Cotton Shirt,Men Fashion,Kurtas,PrimeChoice,S0093,593.63,1065
P00224,Kitchen Storage Container Set,Home & Kitchen,Kitchen Storage,NovaCart,S0204,768.37,1289
P00225,Kitchen Storage Container Set,Home & Kitchen,Kitchen Storage,TechNova,S0037,1323.75,1928
P00226,Non Stick Cookware Set,Home & Kitchen,Kitchen Storage,TechNova,S0100,343.21,528
P00227,Long Summer Dress,Women Fashion,Tops,DailyEase,S0150,190.84,243
P00228,Slim Fit Cotton Shirt,Men Fashion,T-Shirts,NovaCart,S0094,1510.74,1991
P00229,Hair Repair Oil,Beauty,Personal Care,Trendora,S0226,463.26,607
P00230,Bluetooth Speaker,Electronics,Smart Devices,Zenvia,S0285,3018.35,3798
P00231,Smart LED Bulb,Electronics,Mobile Accessories,NovaCart,S0167,378.71,515
P00232,Georgette Saree,Women Fashion,Sarees,PrimeChoice,S0113,1547.22,2451
P00233,Fast Charging Cable,Electronics,Mobile Accessories,Trendora,S0253,2924.65,4033
P00234,Fast Charging Cable,Electronics,Audio,Vistara Living,S0199,2861.99,4939
P00235,Moisturizing Face Cream,Beauty,Makeup,Zenvia,S0220,1195.09,1730
P00236,Men's Casual Kurta,Men Fashion,Trousers,Trendora,S0170,1338.22,2018
P00237,Microfiber Cleaning Set,Home & Kitchen,Cookware,DailyEase,S0106,1776.39,2838
P00238,Microfiber Cleaning Set,Home & Kitchen,Home Decor,TechNova,S0012,1926.09,2765
P00239,Cotton Leggings,Women Fashion,Leggings,HomeAura,S0002,1603.96,2435
P00240,Cotton Cushion Cover Set,Home & Kitchen ,Home Decor,Zenvia,S0280,170.02,287
P00241,Cotton Leggings,Women Fashion,Leggings,Trendora,S0085,630.28,902
P00242,Cotton Leggings,Women Fashion,Tops,DailyEase,S0122,1097.23,1424
P00243,Georgette Saree,Women Fashion,Tops,DailyEase,S0018,1676.62,2419
P00244,Slim Fit Cotton Shirt,Men Fashion,T-Shirts,Vistara Living,S0127,1362.3,1726
P00245,Slim Fit Cotton Shirt,Men Fashion,Shirts,Trendora,S0021,831.83,1301
P00246,Moisturizing Face Cream,Beauty,Haircare,DailyEase,S0059,1504.2,1896
P00247,Printed T-Shirt,Men Fashion,Jeans,Vistara Living,S0018,1231.44,1644
P00248,Stainless Steel Bottle,Home & Kitchen,Home Decor,Vistara Living,S0126,741.95,1051
P00249,Slim Fit Cotton Shirt,Men Fashion,Jeans,Trendora,S0219,1491.73,1913
P00250,Printed Cotton Kurti,Women Fashion,Leggings,UrbanWeave,S0276,1118.86,1619
P00251,Slim Fit Cotton Shirt,Men Fashion,Shirts,Trendora,S0047,1034.91,1402
P00252,Bluetooth Speaker,Electronics,Audio,StyleMint,S0202,2198.02,2979
P00253,Wireless Bluetooth Earbuds,Electronics,Mobile Accessories,HomeAura,S0255,710.99,1214
P00254,Regular Fit Jeans,Men Fashion,Shirts,NovaCart,S0191,1368.65,2182
P00255,Men's Casual Shirt,Men Fashion,Shirts,UrbanWeave,S0138,1114.3,1871
P00256,Floral Anarkali Kurti,Women Fashion,Leggings,DailyEase,S0051,1292.56,2034
P00257,Regular Fit Jeans,Men Fashion,T-Shirts,UrbanNest,S0118,1210.27,2127
P00258,Non Stick Cookware Set,Home & Kitchen,Home Decor,NovaCart,S0217,1070.93,1840
P00259,Non Stick Cookware Set,Home & Kitchen,Home Decor,NovaCart,S0205,2239.41,2934
P00260,Non Stick Cookware Set,Home & Kitchen,Kitchen Storage,UrbanNest,S0218,234.09,303
P00261,Kitchen Storage Container Set,Home & Kitchen,Cookware,UrbanWeave,S0082,150.33,217
P00262,Wireless Mouse,Electronics,Smart Devices,Trendora,S0098,848.61,1374
P00263,Georgette Saree,Women Fashion,Kurtis,Zenvia,S0182,873.65,1142
P00264,Moisturizing Face Cream,Beauty,Makeup,UrbanNest,S0072,421.91,578
P00265,Wireless Mouse,Electronics,Audio,GlowNest,S0026,1573.54,2196
P00266,Microfiber Cleaning Set,Home & Kitchen,Cleaning,TechNova,S0134,1480.58,2087
P00267,Wireless Mouse,Electronics,Mobile Accessories,UrbanNest,S0079,1764.84,2307
P00268,Mobile Phone Stand,Electronics,Mobile Accessories,PrimeChoice,S0165,1648.89,2332
P00269,Smart LED Bulb,Electronics,Audio,NovaCart,S0004,1266.86,1726
P00270,Bluetooth Speaker,Electronics,Computer Accessories,DailyEase,S0196,386.82,588
P00271,Slim Fit Cotton Shirt,Men Fashion,T-Shirts,HomeAura,S0286,693.74,995
P00272,Moisturizing Face Cream,Beauty,Makeup,Trendora,S0030,1363.68,1936
P00273,Face Wash,Beauty,Personal Care,NovaCart,S0222,902.64,1260
P00274,Georgette Saree,Women Fashion,Leggings,PrimeChoice,S0184,1687.62,2261
P00275,Mobile Phone Stand,Electronics,Mobile Accessories,PrimeChoice,S0165,2777.37,4684
P00276,Non Stick Cookware Set,Home & Kitchen,Cleaning,PrimeChoice,S0010,1385.93,1855
P00277,Bluetooth Speaker,Electronics ,Smart Devices,Trendora,S0300,2441.01,4199
P00278,Vitamin C Face Serum,Beauty,Haircare,PrimeChoice,S0164,1426.0,1914
P00279,Hair Repair Oil,Beauty,Makeup,Trendora,S0082,563.18,951
P00280,Men's Casual Shirt,Men Fashion,Jeans,PrimeChoice,S0181,501.56,734
P00281,Decorative Wall Clock,Home & Kitchen,Cookware,Vistara Living,S0211,1203.84,2030
P00282,Fast Charging Cable,Electronics,Smart Devices,Trendora,S0087,202.15,353
P00283,Men's Casual Shirt,Men Fashion,Jeans,DailyEase,S0090,1022.03,1476
P00284,Casual Women's Top,Women Fashion,Kurtis,Zenvia,S0228,1238.19,1909
P00285,Regular Fit Jeans,Men Fashion,Trousers,Zenvia,S0176,184.67,300
P00286,Bluetooth Speaker,Electronics,Smart Devices,NovaCart,S0245,1096.56,1839
P00287,Long Summer Dress,Women Fashion,Kurtis,PrimeChoice,S0026,807.06,1147
P00288,Floral Anarkali Kurti,Women Fashion,Leggings,GlowNest,S0103,774.43,1205
P00289,Fast Charging Cable,Electronics,Mobile Accessories,UrbanNest,S0238,975.42,1562
P00290,Floral Anarkali Kurti,Women Fashion,Leggings,HomeAura,S0024,1346.01,1764
P00291,Floral Anarkali Kurti,Women Fashion,Leggings,StyleMint,S0020,1402.02,2088
P00292,Cotton Cushion Cover Set,Home & Kitchen,Home Decor,Zenvia,S0215,509.91,653
P00293,Non Stick Cookware Set,Home & Kitchen,Cleaning,PrimeChoice,S0270,1116.62,1800
P00294,Matte Liquid Lipstick,Beauty,Makeup,Trendora,S0238,834.07,1321
P00295,Regular Fit Jeans,Men Fashion,Jeans,UrbanWeave,S0218,441.66,668
P00296,Men's Casual Kurta,Men Fashion ,T-Shirts,HomeAura,S0102,453.45,754
P00297,Long Summer Dress,Women Fashion,Kurtis,HomeAura,S0048,781.56,1259
P00298,Vitamin C Face Serum,Beauty,Skincare,NovaCart,S0179,927.7,1614
P00299,Face Wash,Beauty,Makeup,TechNova,S0238,366.38,551
P00300,Cotton Cushion Cover Set,Home & Kitchen,Home Decor,HomeAura,S0017,1485.26,1920
P00301,Cotton Trousers,Men Fashion,Jeans,NovaCart,S0024,890.14,1496
P00302,Cotton Cushion Cover Set,Home & Kitchen,Kitchen Storage,GlowNest,S0052,1178.23,1541
P00303,Wireless Bluetooth Earbuds,Electronics,Computer Accessories,DailyEase,S0254,726.34,957
P00304,Fast Charging Cable,Electronics,Mobile Accessories,Trendora,S0022,1958.6,2704
P00305,Herbal Shampoo,Beauty,Skincare,UrbanNest,S0137,480.37,779
P00306,Non Stick Cookware Set,Home & Kitchen,Cookware,Vistara Living,S0172,826.6,1299
P00307,Smart LED Bulb,Electronics,Computer Accessories,Trendora,S0006,1550.78,2342
